Date;Type of cash flow;Currency;Quantity / Amount;ISIN;Position;Cash flow type;Month;Identification number;Portfolio instrument number;Evaluation date;Portfolio number;Value pre-tax in trade currency;Value pre-tax in evaluation currency;Value after tax in trade currency
17.05.2022;Coupon;USD;2000000;US36164Q6M56;3.373% GE Capital Intl F 16-15.11.2025;Bonds;5;32.824679.000.0;10000.049999999999-32.824679.000.0;31.08.2021;10000.05;33730;33730;33730
18.05.2022;Coupon;USD;2000000;US931427AH10;3.80% Walgreen Boots A 14-18.11.2024;Bonds;5;26.032172.000.0;10000.049999999999-26.032172.000.0;31.08.2021;10000.05;38000;38000;38000
20.05.2022;Coupon;USD;2000000;US92343VFS88;0.85% Verizon Communication 20-20.11.2025;Bonds;5;58.226600.000.0;10000.049999999999-58.226600.000.0;31.08.2021;10000.05;8500;8500;8500
22.05.2022;Coupon;USD;2000000;US031162BV19;3 5/8% Amgen 14-22.05.2024;Bonds;5;24.504329.000.0;10000.049999999999-24.504329.000.0;31.08.2021;10000.05;36250;36250;36250
31.05.2022;Coupon;USD;2000000;US002824BF69;3 3/4% Abbott Laboratories 16-30.11.2026;Bonds;5;34.708853.000.0;10000.049999999999-34.708853.000.0;31.08.2021;10000.05;37500;37500;37500
01.06.2022;Coupon;USD;2000000;US631103AF50;4 1/4% NASDAQ OMX Group 14-01.06.2024;Bonds;6;24.504330.000.0;10000.049999999999-24.504330.000.0;31.08.2021;10000.05;42500;42500;42500
01.06.2022;Coupon;USD;2000000;US437076BG61;2 5/8% Home Depot 15-01.06.2022;Bonds;6;28.415537.000.0;10000.049999999999-28.415537.000.0;31.08.2021;10000.05;26250;26250;26250
01.06.2022;Coupon;USD;2000000;US931427AQ19;3.45% Walgreens Boots 16-01.06.2026;Bonds;6;32.729084.000.0;10000.049999999999-32.729084.000.0;31.08.2021;10000.05;34500;34500;34500
15.06.2022;Coupon;USD;2000000;US717081EA70;3 % Pfizer 16-15.12.2026;Bonds;6;34.647471.000.0;10000.049999999999-34.647471.000.0;31.08.2021;10000.05;30000;30000;30000
15.06.2022;Coupon;USD;2000000;US931142DV21;2.65% Walmart 17-15.12.2024;Bonds;6;38.695584.000.0;10000.049999999999-38.695584.000.0;31.08.2021;10000.05;26500;26500;26500
28.06.2022;Coupon;USD;2000000;US02665WCZ23;2.40% American Honda Fin 19-27.06.2024;Bonds;6;48.639236.000.0;10000.049999999999-48.639236.000.0;31.08.2021;10000.05;24000;24000;24000
28.06.2022;Coupon;USD;2000000;US06367WMQ32;2 1/2% Bank of Montreal 19-28.06.2024;Bonds;6;48.661697.000.0;10000.049999999999-48.661697.000.0;31.08.2021;10000.05;25000;25000;25000
06.07.2022;Coupon;USD;2000000;USN4580HAA51;4 5/8 % ING Group 18-06.01.2026;Bonds;7;44.790687.000.0;10000.049999999999-44.790687.000.0;31.08.2021;10000.05;46250;46250;46250
06.07.2022;Coupon;USD;2000000;US24422EUA53;2.70% John Deere 18-06.01.2023;Bonds;7;39.752905.000.0;10000.049999999999-39.752905.000.0;31.08.2021;10000.05;27000;27000;27000
13.07.2022;Coupon;USD;2000000;US254687FV35;1 3/4% Walt Disney 20-13.01.2026;Bonds;7;54.731051.000.0;10000.049999999999-54.731051.000.0;31.08.2021;10000.05;17500;17500;17500
15.07.2022;Coupon;USD;2000000;US91324PCP53;3 3/4% Unitedhealth Group 15-15.07.2025;Bonds;7;28.994943.000.0;10000.049999999999-28.994943.000.0;31.08.2021;10000.05;37500;37500;37500
16.07.2022;Coupon;USD;2000000;US65535HAP47;2.648% Nomura Holdings 20-16.01.2025;Bonds;7;51.913171.000.0;10000.049999999999-51.913171.000.0;31.08.2021;10000.05;26480;26480;26480
18.07.2022;Coupon;USD;2000000;US606822BJ24;2.801% Mitsubishi UFJ 19-18.07.2024;Bonds;7;48.986669.000.0;10000.049999999999-48.986669.000.0;31.08.2021;10000.05;28010;28010;28010
19.07.2022;Coupon;USD;2000000;US80282KAE64;4 1/2% Santander Holdings 15-17.07.2025;Bonds;7;28.941209.000.0;10000.049999999999-28.941209.000.0;31.08.2021;10000.05;45000;45000;45000
20.07.2022;Coupon;USD;2000000;US126650CL25;3 7/8% CVS Health 15-20.07.2025;Bonds;7;28.928618.000.0;10000.049999999999-28.928618.000.0;31.08.2021;10000.05;38750;38750;38750
26.07.2022;Coupon;USD;2000000;XS2287744218;1 3/8% QNB Finance 21-26.01.2026;Bonds;7;59.542468.000.0;10000.049999999999-59.542468.000.0;31.08.2021;10000.05;13750;13750;13750
30.07.2022;Coupon;USD;2000000;US58013MEY66;3.70% McDonald's 15-30.01.2026;Bonds;7;30.670031.000.0;10000.049999999999-30.670031.000.0;31.08.2021;10000.05;37000;37000;37000
01.08.2022;Coupon;USD;2000000;US035242AP13;3.65% Anheuser Busch 16-01.02.2026;Bonds;8;31.118407.000.0;10000.049999999999-31.118407.000.0;31.08.2021;10000.05;36500;36500;36500
15.08.2022;Coupon;USD;2000000;US20030NBL47;3 3/8% Comcast 14-15.02.2025;Bonds;8;25.125715.000.0;10000.049999999999-25.125715.000.0;31.08.2021;10000.05;33750;33750;33750
15.08.2022;Coupon;USD;2000000;US855244AQ29;3.80% Starbucks 18-15.08.2025;Bonds;8;43.167960.000.0;10000.049999999999-43.167960.000.0;31.08.2021;10000.05;38000;38000;38000
19.08.2022;Coupon;USD;2000000;US031162CJ71;2.60% Amgen 16-19.08.2026;Bonds;8;33.613028.000.0;10000.049999999999-33.613028.000.0;31.08.2021;10000.05;26000;26000;26000
21.08.2022;Coupon;USD;2000000;US822582AS19;2 3/8% Shell Intl Finance 12-21.08.2022;Bonds;8;19.289108.000.0;10000.049999999999-19.289108.000.0;31.08.2021;10000.05;23750;23750;23750
22.08.2022;Coupon;USD;2000000;US025816CC13;3.40% American Express 19-22.02.2024;Bonds;8;46.559313.000.0;10000.049999999999-46.559313.000.0;31.08.2021;10000.05;34000;34000;34000
19.01.2022;Redemption;USD;2000000;USN27915AQ54;2.82% Deutsche Telekom Intl 17-19.01.2022;Bonds;1;35.311606.000.0;10000.049999999999-35.311606.000.0;31.08.2021;10000.05;2000000;2000000;2000000
09.02.2022;Redemption;USD;2000000;US037833CM07;2 1/2% Apple 17-09.02.2022;Bonds;2;35.604991.000.0;10000.049999999999-35.604991.000.0;31.08.2021;10000.05;2000000;2000000;2000000
10.02.2022;Redemption;USD;2000000;US58933YAQ89;2.35% Merck 15-10.02.2022;Bonds;2;27.079219.000.0;10000.049999999999-27.079219.000.0;31.08.2021;10000.05;2000000;2000000;2000000
24.02.2022;Redemption;USD;2000000;US055451AQ16;2 7/8% BHP Billiton Finance 12-24.02.2022;Bonds;2;18.050718.000.0;10000.049999999999-18.050718.000.0;31.08.2021;10000.05;2000000;2000000;2000000
15.05.2022;Redemption;USD;2000000;US68389XBB01;2 1/2% Oracle 15-15.05.2022;Bonds;5;28.073105.000.0;10000.049999999999-28.073105.000.0;31.08.2021;10000.05;2000000;2000000;2000000
01.06.2022;Redemption;USD;2000000;US437076BG61;2 5/8% Home Depot 15-01.06.2022;Bonds;6;28.415537.000.0;10000.049999999999-28.415537.000.0;31.08.2021;10000.05;2000000;2000000;2000000
21.08.2022;Redemption;USD;2000000;US822582AS19;2 3/8% Shell Intl Finance 12-21.08.2022;Bonds;8;19.289108.000.0;10000.049999999999-19.289108.000.0;31.08.2021;10000.05;2000000;2000000;2000000
24.10.2021;Coupon;USD;2000000;US06051GGK94;FRN Bank of America 17-24.04.2023;Floating Rate Notes;10;36.487063.000.0;10000.049999999999-36.487063.000.0;31.08.2021;10000.05;14405;14405;14405
24.01.2022;Coupon;USD;2000000;US06051GGK94;FRN Bank of America 17-24.04.2023;Floating Rate Notes;1;36.487063.000.0;10000.049999999999-36.487063.000.0;31.08.2021;10000.05;14405;14405;14405
24.04.2022;Coupon;USD;2000000;US06051GGK94;FRN Bank of America 17-24.04.2023;Floating Rate Notes;4;36.487063.000.0;10000.049999999999-36.487063.000.0;31.08.2021;10000.05;14405;14405;14405
24.07.2022;Coupon;USD;2000000;US06051GGK94;FRN Bank of America 17-24.04.2023;Floating Rate Notes;7;36.487063.000.0;10000.049999999999-36.487063.000.0;31.08.2021;10000.05;14405;14405;14405
01.09.2021;Coupon;USD;650000;US92840VAA08;5 1/2% Vistra Operations 18-01.09.2026 144A;Bonds;9;43.150211.000.0;10000.370000000001-43.150211.000.0;31.08.2021;10000.37;17875;17875;17875
01.09.2021;Coupon;USD;900000;US98310WAL28;3.9% Wyndham Destinations 13-01.03.2023;Bonds;9;20.761875.000.0;10000.370000000001-20.761875.000.0;31.08.2021;10000.37;17550;17550;17550
01.09.2021;Coupon;USD;650000;US527298BH52;5 3/8 % Level 3 Financing 16-01.05.2025;Bonds;9;30.453100.000.0;10000.370000000001-30.453100.000.0;31.08.2021;10000.37;17468.75;17468.75;17468.75
06.09.2021;Coupon;USD;875000;XS0861981180;4.199% Rosneft Intl. Finance 12-06.03.2022;Bonds;9;20.145902.000.0;10000.370000000001-20.145902.000.0;31.08.2021;10000.37;18370.625;18370.625;18370.625
08.09.2021;Dividend;USD;70000;US7170811035;Pfizer;Other positions;9;  .962004.000.0;10000.07-  .962004.000.0;31.08.2021;10000.07;27300;27300;19110
08.09.2021;Coupon;USD;875000;XS1575874471;3 7/8% Sultanat Oman 17-08.03.2022;Bonds;9;35.932986.000.0;10000.370000000001-35.932986.000.0;31.08.2021;10000.37;16953.125;16953.125;16953.125
10.09.2021;Coupon;USD;1000000;USN30707AM05;2.65% Enel Finance 19-10.09.2024;Bonds;9;49.920281.000.0;10000.049999999999-49.920281.000.0;31.08.2021;10000.05;13250;13250;13250
10.09.2021;Dividend;USD;8000;US4592001014;IBM;Other positions;9;  .941800.000.0;10000.07-  .941800.000.0;31.08.2021;10000.07;13120;13120;9184
12.09.2021;Coupon;USD;1000000;XS1826630425;4 % ENI 18-12.09.2023;Bonds;9;43.606970.000.0;10000.049999999999-43.606970.000.0;31.08.2021;10000.05;20000;20000;20000
13.09.2021;Redemption;USD;1000000;US60687YAE95;2.273% Mizuho Fin Group 16-13.09.2021;Bonds;9;33.891647.000.0;10000.049999999999-33.891647.000.0;31.08.2021;10000.05;1000000;1000000;1000000
15.09.2021;Coupon;USD;800000;US156700AS50;5 80% Lumen Technologies 12-15.03.2022;Bonds;9;18.127342.000.0;10000.370000000001-18.127342.000.0;31.08.2021;10000.37;23200;23200;23200
