Description;ISIN;Identification number;Quantity / amount;Price;Market to cost;Weight;Investment strategy;Portfolio manager;Relationship manager;Evaluation date;Portfolio number;Total value in evaluation currency;Trade currency;Risk currency;Duration;YTM;Duration x Total value in evaluation currency;YTM x Total value in evaluation currency;Position rank;Country;Asset class;Price date;Bank
2.90 % Qualcomm 17-20.05.2024;US747525AT09;36.870380.000.0;1000000;106.205;0.046999384;0.005149501;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1070105.556;USD;USD;2.600881594;0.005994301;2783217.843;6414.534749;;USA;Bonds;31.08.2021;LGT, Geneva
2.65% Charles Schwab 17-25.01.2023;US808513AT29;39.437352.000.0;2500000;103.03;0.031178564;0.012425872;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2582190.972;USD;USD;1.375884207;0.00484449;3552795.779;12509.39842;;USA;Bonds;31.08.2021;LGT, Geneva
4 1/4% Bayer US Finance II 18-15.12.2025;USU07265AE85;42.328124.000.0;1000000;110.83;-0.029509632;0.005375905;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1117154.167;USD;USD;3.886792521;0.016279883;4342146.46;18187.13897;;USA;Bonds;27.08.2021;LGT, Geneva
3.20% Bristol Myers 20-15.06.2026;US110122CN68;55.583898.000.0;1000000;109.77;-0.019849455;0.00531437;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1104366.667;USD;USD;4.415623997;0.011023737;4876467.955;12174.24782;;USA;Bonds;31.08.2021;LGT, Geneva
0.85% Verizon Communication 20-20.11.2025;US92343VFS88;58.226600.000.0;2000000;99.297;0.013876126;0.009579351;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1990662.222;USD;USD;4.103887091;0.010188018;8169452.997;20280.90262;;USA;Bonds;31.08.2021;LGT, Geneva
5 1/4% Ladder Capital Fin 17-15.03.2022;US505742AF38;35.936578.000.0;825000;100.405;-0.011230976;0.016816397;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;848192.8125;USD;USD;0.501334182;0.045196343;425228.0494;38335.21359;;USA;Bonds;31.08.2021;JPM, Geneva
4 1/8% CDW LLC Finance 20-01.05.2025;US12513GBE89;54.254781.000.0;400000;103.975;-0.007999924;0.00835383;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;421354.1667;USD;USD;3.299007456;0.029731643;1390050.537;12527.55179;;USA;Bonds;31.08.2021;JPM, Geneva
3.60% AbbVie 15-14.05.2025;US00287YAQ26;28.161962.000.0;2000000;109.071;0.044091322;0.010599322;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2202620;USD;USD;3.435063595;0.010949423;7566139.777;24117.41901;;USA;Bonds;31.08.2021;LGT, Geneva
2.65 % Microsoft 15-03.11.2022;US594918BH60;30.291157.000.0;2000000;102.557;0.027018096;0.009953268;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2068365;USD;USD;1.149890563;0.004713087;2378393.394;9748.384264;;USA;Bonds;31.08.2021;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;2000000;109.124;0.008400876;0.010600152;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2202792.5;USD;USD;3.884695181;0.008948708;8557177.409;19712.14686;;USA;Bonds;31.08.2021;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;2000000;110.472;-0.021679065;0.010660439;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2215320.556;USD;USD;4.076768911;0.012106243;9031349.97;26819.20788;;USA;Bonds;31.08.2021;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;2000000;109.299;0.003387497;0.010601335;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2203038.333;USD;USD;4.339363446;0.014210943;9559784.015;31307.25259;;USA;Bonds;31.08.2021;LGT, Geneva
2.20% Cisco System 16-20.09.2023;US17275RBH49;33.966812.000.0;2000000;103.678;0.05645112;0.010072371;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2093115.556;USD;USD;1.992871263;0.004029092;4171309.84;8433.356142;;USA;Bonds;31.08.2021;LGT, Geneva
3 % Pfizer 16-15.12.2026;US717081EA70;34.647471.000.0;2000000;110.163;-0.0175509;0.010662554;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2215760;USD;USD;4.869783203;0.010216977;10790270.83;22638.36883;;USA;Bonds;31.08.2021;LGT, Geneva
3 3/4% Abbott Laboratories 16-30.11.2026;US002824BF69;34.708853.000.0;2000000;113.14;-0.000432021;0.010979144;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2281550;USD;USD;4.743854707;0.011626336;10823341.71;26526.06672;;USA;Bonds;31.08.2021;LGT, Geneva
3.35% Toyota Motor Credit 19-08.01.2024;US89236TFS96;45.722899.000.0;1000000;106.706;0.061117741;0.005158131;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1071898.889;USD;USD;2.265770503;0.004810376;2428676.885;5156.236905;;USA;Bonds;30.08.2021;LGT, Geneva
3.30% IBM 19-15.05.2026;US459200JZ55;47.846322.000.0;2000000;109.81;-0.020917294;0.010661062;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2215450;USD;USD;4.320507155;0.011538976;9571867.577;25564.02448;;USA;Bonds;31.08.2021;LGT, Geneva
3.35% Walt Disney 20-24.03.2025;US254687FN19;53.629993.000.0;1500000;108.525;-0.028511324;0.007938351;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1649650;USD;USD;3.317714474;0.009161186;5473067.682;15112.74985;;USA;Bonds;31.08.2021;LGT, Geneva
7 1/8% Springleaf Finance 18-15.03.2026;US85172FAN96;41.758539.000.0;500000;116.813;0.016039106;0.011903483;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;600393.125;USD;USD;3.763669835;0.031280985;2259681.493;18780.8886;;USA;Bonds;31.08.2021;JPM, Geneva
6 3/4% Navient 18-15.06.2026;US63938CAJ71;42.177803.000.0;700000;113.165;0.003235816;0.015900546;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;801998.75;USD;USD;4.000280377;0.037276116;3208219.862;29895.39838;;USA;Bonds;31.08.2021;JPM, Geneva
0.80% Caterpillar Fin Serv 20-13.11.2025;US14913R2H93;58.198447.000.0;2000000;99.894;0.013658319;0.009636968;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2002635.556;USD;USD;4.097478482;0.008241447;8205756.096;16504.6154;;USA;Bonds;31.08.2021;LGT, Geneva
3 5/8% Amgen 14-22.05.2024;US031162BV19;24.504329.000.0;2000000;107.353;0.044310201;0.010426932;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2166796.111;USD;USD;2.575040948;0.008884326;5579588.712;19250.52231;;USA;Bonds;31.08.2021;LGT, Geneva
4 1/4% NASDAQ OMX Group 14-01.06.2024;US631103AF50;24.504330.000.0;2000000;109.023;0.033824533;0.010593807;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2201473.889;USD;USD;2.58149053;0.009259305;5683083.997;20384.11753;;USA;Bonds;31.08.2021;LGT, Geneva
3 1/4% McDonald's 14-10.06.2024;US58013MES98;24.632857.000.0;2250000;107.474;0.093938623;0.011714753;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2434415;USD;USD;2.64838556;0.005353808;6447269.532;13033.38968;;USA;Bonds;31.08.2021;LGT, Geneva
3 3/8% Bayer US Finance 14-08.10.2024;USU07264AG68;25.619355.000.0;1750000;106.7253;-0.007206512;0.009099712;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1890989.625;USD;USD;2.906245806;0.011659575;5495680.667;22048.13628;;USA;Bonds;25.08.2021;LGT, Geneva
4 1/2% Santander Holdings 15-17.07.2025;US80282KAE64;28.941209.000.0;2000000;110.908;-0.011030362;0.010723427;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2228410;USD;USD;3.5391436;0.015935731;7886662.991;35511.34177;;USA;Bonds;31.08.2021;LGT, Geneva
3.70% McDonald's 15-30.01.2026;US58013MEY66;30.670031.000.0;2000000;110.759;-0.020698497;0.010689437;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2221346.667;USD;USD;4.068837771;0.011906642;9038299.221;26448.7799;;USA;Bonds;31.08.2021;LGT, Geneva
2 3/4% Berkshire Hathaway 16-15.03.2023;US084670BR84;31.870861.000.0;2000000;103.4597;0.061429949;0.010078563;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2094402.333;USD;USD;1.489296175;0.005004368;3119185.385;10481.16002;;USA;Bonds;31.08.2021;LGT, Geneva
3 % Wells Fargo 16-23.10.2026;US949746SH57;34.349463.000.0;2000000;108.189;0.004094747;0.010514275;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2184946.667;USD;USD;4.707185393;0.013483929;10284949.03;29461.66611;;USA;Bonds;31.08.2021;LGT, Geneva
3.363% Becton Dickinson 17-06.06.2024;US075887BV02;36.900815.000.0;1750000;106.707;-0.012127721;0.009052145;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1881104.75;USD;USD;2.623490472;0.009049057;4935060.389;17022.22357;;USA;Bonds;31.08.2021;LGT, Geneva
4 1/4% DXC Technology 17-15.04.2024;US23355LAC00;37.288835.000.0;1000000;108.09;0.015730717;0.005278139;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1096837.5;USD;USD;2.448926057;0.011157443;2686073.934;12237.90216;;USA;Bonds;26.08.2021;LGT, Geneva
3 7/8% Air Lease 18-03.07.2023;US00912XBC74;42.213453.000.0;1000000;105.586;0.061955625;0.005109956;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1061887.778;USD;USD;1.768448844;0.008144451;1877894.213;8648.492856;;USA;Bonds;30.08.2021;LGT, Geneva
5 1/4% Quicken Loans 17-15.01.2028;US74840LAB80;39.463178.000.0;750000;104.3955;-0.013303025;0.015620787;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;787888.125;USD;USD;5.239337789;0.044507271;4128012.027;35066.75026;;USA;Bonds;31.08.2021;JPM, Geneva
5 3/8% Centene Escrow 18-01.06.2026;US15137TAA88;41.758541.000.0;700000;104.259;0.002803761;0.014653798;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;739114.7361;USD;USD;4.028760431;0.043740795;2977716.203;32329.46588;;USA;Bonds;31.07.2021;JPM, Geneva
2.60% eBay 12-15.07.2022;US278642AE34;19.095949.000.0;1500000;101.125;0.067845829;0.007322878;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1521750;USD;USD;0.853070118;0.013184327;1298159.451;20063.24912;;USA;Bonds;31.08.2021;LGT, Geneva
3 1/2% Verizon Comm 14-01.11.2024;US92343VCR33;25.867444.000.0;2000000;108.265;0.106280144;0.010531081;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2188438.889;USD;USD;2.975972928;0.008498148;6512734.887;18597.67802;;USA;Bonds;31.08.2021;LGT, Geneva
2 1/2% Oracle 15-15.05.2022;US68389XBB01;28.073105.000.0;2000000;101.18556;0.023896624;0.009808564;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2038294.533;USD;USD;0.691874338;0.008217895;1410243.681;16750.49012;;USA;Bonds;23.08.2021;LGT, Geneva
2 1/2% Lowe's Companies 16-15.04.2026;US548661DM66;32.244791.000.0;2000000;106.288;-0.016562113;0.010319688;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2144510;USD;USD;4.313277618;0.011030442;9249866.985;23654.89246;;USA;Bonds;31.08.2021;LGT, Geneva
2 1/2% Oracle 20-01.04.2025;US68389XBT19;53.904402.000.0;2000000;104.56;-0.002841939;0.010162738;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2111894.444;USD;USD;3.378192071;0.011969485;7134385.067;25278.28816;;USA;Bonds;31.08.2021;LGT, Geneva
3.90% BMW US Capital LLC 20-09.04.2025;USU09513HX08;54.037322.000.0;2000000;110.126;-0.020431762;0.010745852;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2233070;USD;USD;3.325824341;0.010349663;7426798.562;23111.52127;;USA;Bonds;30.08.2021;LGT, Geneva
1 3/4% Walt Disney 20-13.01.2026;US254687FV35;54.731051.000.0;2000000;103.273;-0.00966619;0.009961277;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2070029.444;USD;USD;4.177444304;0.00983373;8647432.712;20356.11096;;USA;Bonds;31.08.2021;LGT, Geneva
6 5/8% Ford Motor 98-01.10.2028;US345370BY59;  .957543.000.0;800000;120.25;0.019318307;0.019507663;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;983936.1111;USD;USD;5.558400957;0.033877684;5469111.422;33333.47714;;USA;Bonds;31.08.2021;JPM, Geneva
6 3/4% Qwest 11-01.12.2021;US74913GAX34;13.984919.000.0;600000;101.472;-0.056074419;0.012269303;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;618844.5;USD;USD;0.249560291;0.009304291;154439.0134;5757.909212;;USA;Bonds;31.08.2021;JPM, Geneva
7 3/4 % MGM Resorts Intl 12-15.03.2022;US552953BX80;18.207832.000.0;675000;103.6913;-0.057072432;0.014352007;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;723892.8375;USD;USD;0.514052248;0.00908068;372118.7404;6573.439559;;USA;Bonds;31.08.2021;JPM, Geneva
6 % Sprint 12-15.11.2022;US852061AS99;20.006461.000.0;825000;105.885;0.029480482;0.017605397;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;887988.75;USD;USD;1.153139405;0.01086431;1023974.819;9647.384666;;USA;Bonds;31.08.2021;JPM, Geneva
5 3/8% HCA 15-01.02.2025;US404119BR91;26.700955.000.0;700000;112.75;0.02286129;0.015707879;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;792280.9028;USD;USD;3.124111062;0.015338692;2475173.533;12152.55258;;USA;Bonds;31.08.2021;JPM, Geneva
5 1/2% CCO Holdings 16-01.05.2026;US1248EPBR37;32.212993.000.0;750000;103.5;0.04695624;0.015660386;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;789885.4167;USD;USD;3.923657385;0.04659576;3099239.748;36805.31144;;USA;Bonds;31.08.2021;JPM, Geneva
4.65% Western Midstream 16-01.07.2026;US958254AF13;33.120765.000.0;600000;107.918;0.001559165;0.012928245;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;652080.5;USD;USD;4.243235972;0.028864015;2766931.434;18821.66129;;USA;Bonds;31.08.2021;JPM, Geneva
3.90% EQT 17-01.10.2027;US26884LAF67;38.488193.000.0;750000;104.95;0.014692986;0.015845677;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;799231.25;USD;USD;5.242243213;0.030033302;4189764.596;24003.55383;;USA;Bonds;31.08.2021;JPM, Geneva
6 1/4% Meritor 20-01.06.2025;US59001KAG58;55.178013.000.0;500000;105.702;-0.016954197;0.010631488;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;536235.6944;USD;USD;3.209370745;0.045805504;1720979.15;24562.54636;;USA;Bonds;31.08.2021;JPM, Geneva
5 3/4% Hillenbrand 20-15.06.2025;US431571AD01;55.268134.000.0;650000;106.53;-0.014751445;0.013882893;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;700231.4583;USD;USD;3.297816788;0.038828661;2309235.059;27189.0502;;USA;Bonds;31.08.2021;JPM, Geneva
4 7/8% General Motors 14-02.10.2023;US37045VAE02;24.730252.000.0;3000000;108.484;0.018775754;0.015950545;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;3314645;USD;USD;1.961234034;0.007757453;6500794.585;25713.20329;;USA;Bonds;31.08.2021;LGT, Geneva
3.95% Bank of America 15-21.04.2025 Subord Series L;US06051GFP90;27.942144.000.0;2000000;109;0.048117235;0.010626695;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2208308.333;USD;USD;3.34126043;0.014070182;7378533.251;31071.30001;;USA;Bonds;31.08.2021;LGT, Geneva
2 5/8% Home Depot 15-01.06.2022;US437076BG61;28.415537.000.0;2000000;101.57;-0.006164384;0.009837845;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2044379.167;USD;USD;0.73974945;0.005450288;1512328.364;11142.45553;;USA;Bonds;31.08.2021;LGT, Geneva
3 7/8% CVS Health 15-20.07.2025;US126650CL25;28.928618.000.0;2000000;110.173;0.046863865;0.010644802;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2212071.111;USD;USD;3.597415139;0.011902639;7957738.103;26329.48491;;USA;Bonds;31.08.2021;LGT, Geneva
2.70% John Deere 18-06.01.2023;US24422EUA53;39.752905.000.0;2000000;103.286;0.040363623;0.009979518;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2073820;USD;USD;1.32672082;0.002635105;2751380.171;5464.734313;;USA;Bonds;30.08.2021;LGT, Geneva
4.133% Thermo Fisher Scien 20-25.03.2025;US883556CF73;53.731163.000.0;1500000;110.594;-0.023400798;0.008111359;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1685602.292;USD;USD;3.270219069;0.011009821;5512288.757;18558.17963;;USA;Bonds;31.08.2021;LGT, Geneva
3.80% Continental Resources 14-01.06.2024;US212015AN15;24.766213.000.0;750000;107.125;0.092799273;0.016068763;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;810483.3333;USD;USD;2.588856732;0.011635097;2098225.234;9430.052064;;USA;Bonds;31.08.2021;JPM, Geneva
5 7/8 % Netflix 16-15.02.2025;US64110LAL09;31.446301.000.0;775000;114.9287;0.103054772;0.017997615;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;907771.6438;USD;USD;3.14614295;0.014311052;2855979.357;12991.1676;;USA;Bonds;31.08.2021;JPM, Geneva
4 7/8% Newell Brands 20-01.06.2025;US651229BB19;54.926961.000.0;700000;111.433;0.025107566;0.015632273;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2021;10000.37;788467.4583;USD;USD;3.390359442;0.017182659;2673188.092;13547.96769;;USA;Bonds;31.08.2021;JPM, Geneva
3 3/4% Unitedhealth Group 15-15.07.2025;US91324PCP53;28.994943.000.0;2000000;110.86;-0.033040262;0.010714597;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2226575;USD;USD;3.602872823;0.008939667;8022066.555;19904.84015;;USA;Bonds;31.08.2021;LGT, Geneva
2.60% Amgen 16-19.08.2026;US031162CJ71;33.613028.000.0;2000000;106.45;0.011660949;0.010252698;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2130588.889;USD;USD;4.637163207;0.012576808;9879888.404;26796.00816;;USA;Bonds;31.08.2021;LGT, Geneva
2 1/8% Home Depot 16-15.09.2026;US437076BN13;33.878609.000.0;2000000;105.346;0.006612265;0.010232537;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2126399.167;USD;USD;4.718599839;0.010347383;10033626.76;22002.66726;;USA;Bonds;31.08.2021;LGT, Geneva
2 3/8% Nestle Holdings 17-18.01.2022;XS1550117342;35.311429.000.0;3000000;100.765;-0.003165653;0.014757348;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;3066689.583;USD;USD;0.381964818;0.003493232;1171367.53;10712.65859;;USA;Bonds;31.08.2021;LGT, Geneva
2.70% Toyota Motor Credit 18-11.01.2023;US89236TEL52;39.820103.000.0;3000000;103.292;0.037089098;0.01496473;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;3109785;USD;USD;1.340107152;0.00283249;4167445.119;8808.434526;;USA;Bonds;31.08.2021;LGT, Geneva
3.70% CVS Health 18-09.03.2023;US126650CV07;40.806728.000.0;2000000;104.718;0.043863125;0.010247506;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2129510;USD;USD;1.459036622;0.00591651;3107033.077;12599.26713;;USA;Bonds;31.08.2021;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;2000000;110.586;-0.023755926;0.010658351;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;2214886.667;USD;USD;3.677259447;0.01061194;8144712.919;23504.24397;;USA;Bonds;31.08.2021;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;1000000;107.42;0.067474908;0.005192783;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2021;10000.05;1079100;USD;USD;2.269664375;0.004379253;2449194.828;4725.651559;;USA;Bonds;31.07.2021;LGT, Geneva
