Ticket date;Transaction;Transaction number;Amount;Position;Identification number;Accounting;Price;Value in evaluation currency;Portfolio number;Booking date;Value date;Purchase date;Portfolio instrument number;Position instrument number;Evaluation date;Transaction value in evaluation currency;Transaction interest in evaluation currency;Transaction fees in evaluation currency;Transaction duties and taxes in evaluation currency;Fee basis in evaluation currency;Transaction holding position;Transaction holding amount;Transaction counterparty position;Transaction counterparty currency;Transaction counterparty amount;Transaction holding identification number;Transaction counterparty identification number;Value;Currency;Transaction holding currency
14.01.2020;Coupon payment;10000.05-2700;0;FRN Mizuho Financial 16-12.04.2021;32.179378.000.0;Coupon;;-17597.78;10000.05;16.01.2020;14.01.2020;14.01.2020;10000.049999999999-32.179378.000.0;FRN Mizuho Financial 16-12.04.2021 (32.179378.000.0);31.08.2021;0;17597.78;0;0;17597.78;FRN Mizuho Financial 16-12.04.2021;0;Current Account USD;USD;17597.78;32.179378.000.0;  .KK-USD.000.0.10000.05;-17597.78;USD;USD
15.01.2020;Coupon payment;10000.05-2701;0;2.60% eBay 12-15.07.2022;19.095949.000.0;Coupon;;-19500;10000.05;17.01.2020;15.01.2020;15.01.2020;10000.049999999999-19.095949.000.0;2.60% eBay 12-15.07.2022 (19.095949.000.0);31.08.2021;0;19500;0;0;19500;2.60% eBay 12-15.07.2022;0;Current Account USD;USD;19500;19.095949.000.0;  .KK-USD.000.0.10000.05;-19500;USD;USD
15.01.2020;Coupon payment;10000.05-2702;0;3.95% AT&T 16-15.01.2025;31.824877.000.0;Coupon;;-29625;10000.05;17.01.2020;15.01.2020;15.01.2020;10000.049999999999-31.824877.000.0;3.95% AT&T 16-15.01.2025 (31.824877.000.0);31.08.2021;0;29625;0;0;29625;3.95% AT&T 16-15.01.2025;0;Current Account USD;USD;29625;31.824877.000.0;  .KK-USD.000.0.10000.05;-29625;USD;USD
21.01.2020;Coupon payment;10000.05-2703;0;2 3/8% Nestle Holdings 17-18.01.2022;35.311429.000.0;Coupon;;-71250;10000.05;23.01.2020;21.01.2020;21.01.2020;10000.049999999999-35.311429.000.0;2 3/8% Nestle Holdings 17-18.01.2022 (35.311429.000.0);31.08.2021;0;71250;0;0;71250;2 3/8% Nestle Holdings 17-18.01.2022;0;Current Account USD;USD;71250;35.311429.000.0;  .KK-USD.000.0.10000.05;-71250;USD;USD
21.01.2020;Coupon payment;10000.05-2704;0;2.82% Deutsche Telekom Intl 17-19.01.2022;35.311606.000.0;Coupon;;-28200;10000.05;23.01.2020;21.01.2020;21.01.2020;10000.049999999999-35.311606.000.0;2.82% Deutsche Telekom Intl 17-19.01.2022 (35.311606.000.0);31.08.2021;0;28200;0;0;28200;2.82% Deutsche Telekom Intl 17-19.01.2022;0;Current Account USD;USD;28200;35.311606.000.0;  .KK-USD.000.0.10000.05;-28200;USD;USD
22.01.2020;Coupon payment;10000.05-2705;0;4.40% JPMorgan Chase 10-22.07.2020;11.548492.000.0;Coupon;;-44000;10000.05;24.01.2020;22.01.2020;22.01.2020;10000.049999999999-11.548492.000.0;4.40% JPMorgan Chase 10-22.07.2020 (11.548492.000.0);31.08.2021;0;44000;0;0;44000;4.40% JPMorgan Chase 10-22.07.2020;0;Current Account USD;USD;44000;11.548492.000.0;  .KK-USD.000.0.10000.05;-44000;USD;USD
22.01.2020;Coupon payment;10000.05-2706;0;2.679% Panasonic 19-19.07.2024;48.966692.000.0;Coupon;;-20092.5;10000.05;24.01.2020;21.01.2020;22.01.2020;10000.049999999999-48.966692.000.0;2.679% Panasonic 19-19.07.2024 (48.966692.000.0);31.08.2021;0;20092.5;0;0;20092.5;2.679% Panasonic 19-19.07.2024;0;Current Account USD;USD;20092.5;48.966692.000.0;  .KK-USD.000.0.10000.05;-20092.5;USD;USD
23.01.2020;Coupon payment;10000.05-2707;0;2.65% Sumitomo Mitsui F&L 15-23.07.2020;28.941222.000.0;Coupon;;-39750;10000.05;27.01.2020;23.01.2020;23.01.2020;10000.049999999999-28.941222.000.0;2.65% Sumitomo Mitsui F&L 15-23.07.2020 (28.941222.000.0);31.08.2021;0;39750;0;0;39750;2.65% Sumitomo Mitsui F&L 15-23.07.2020;0;Current Account USD;USD;39750;28.941222.000.0;  .KK-USD.000.0.10000.05;-39750;USD;USD
23.01.2020;Coupon payment;10000.05-2708;0;2.801% Mitsubishi UFJ 19-18.07.2024;48.986669.000.0;Coupon;;-23720.27;10000.05;27.01.2020;21.01.2020;23.01.2020;10000.049999999999-48.986669.000.0;2.801% Mitsubishi UFJ 19-18.07.2024 (48.986669.000.0);31.08.2021;0;23720.27;0;0;23720.27;2.801% Mitsubishi UFJ 19-18.07.2024;0;Current Account USD;USD;23720.27;48.986669.000.0;  .KK-USD.000.0.10000.05;-23720.27;USD;USD
27.01.2020;Coupon payment;10000.05-2713;0;2.65% Charles Schwab 17-25.01.2023;39.437352.000.0;Coupon;;-33125;10000.05;29.01.2020;27.01.2020;27.01.2020;10000.049999999999-39.437352.000.0;2.65% Charles Schwab 17-25.01.2023 (39.437352.000.0);31.08.2021;0;33125;0;0;33125;2.65% Charles Schwab 17-25.01.2023;0;Current Account USD;USD;33125;39.437352.000.0;  .KK-USD.000.0.10000.05;-33125;USD;USD
27.01.2020;Coupon payment;10000.05-2714;0;1.90% IBM 17-27.01.2020;35.488502.000.0;Coupon;;-28500;10000.05;29.01.2020;27.01.2020;27.01.2020;10000.049999999999-35.488502.000.0;1.90% IBM 17-27.01.2020 (35.488502.000.0);31.08.2021;0;28500;0;0;28500;1.90% IBM 17-27.01.2020;0;Current Account USD;USD;28500;35.488502.000.0;  .KK-USD.000.0.10000.05;-28500;USD;USD
29.01.2020;Coupon payment;10000.05-2716;0;VRN Macquarie Bank 15-29.07.2020;29.045281.000.0;Coupon;;-15579.33;10000.05;03.02.2020;29.01.2020;29.01.2020;10000.049999999999-29.045281.000.0;VRN Macquarie Bank 15-29.07.2020 (29.045281.000.0);31.08.2021;0;15579.33;0;0;15579.33;VRN Macquarie Bank 15-29.07.2020;0;Current Account USD;USD;15579.33;29.045281.000.0;  .KK-USD.000.0.10000.05;-15579.33;USD;USD
29.01.2020;Coupon payment;10000.05-2717;0;2 7/8% ANZ New Zealand 17-25.01.2022;35.433027.000.0;Coupon;;-14950;10000.05;03.02.2020;28.01.2020;29.01.2020;10000.049999999999-35.433027.000.0;2 7/8% ANZ New Zealand 17-25.01.2022 (35.433027.000.0);31.08.2021;0;14950;0;0;14950;2 7/8% ANZ New Zealand 17-25.01.2022;0;Current Account USD;USD;14950;35.433027.000.0;  .KK-USD.000.0.10000.05;-14950;USD;USD
03.02.2020;Coupon payment;10000.05-2718;0;2.35% Citigroup 16-02.08.2021;33.419293.000.0;Coupon;;-23500;10000.05;05.02.2020;03.02.2020;03.02.2020;10000.049999999999-33.419293.000.0;2.35% Citigroup 16-02.08.2021 (33.419293.000.0);31.08.2021;0;23500;0;0;23500;2.35% Citigroup 16-02.08.2021;0;Current Account USD;USD;23500;33.419293.000.0;  .KK-USD.000.0.10000.05;-23500;USD;USD
03.02.2020;Coupon payment;10000.05-2719;0;3.30% Anheuser Busch 16-01.02.2023;31.118571.000.0;Coupon;;-29650.5;10000.05;05.02.2020;03.02.2020;03.02.2020;10000.049999999999-31.118571.000.0;3.30% Anheuser Busch 16-01.02.2023 (31.118571.000.0);31.08.2021;0;29650.5;0;0;29650.5;3.30% Anheuser Busch 16-01.02.2023;0;Current Account USD;USD;29650.5;31.118571.000.0;  .KK-USD.000.0.10000.05;-29650.5;USD;USD
03.02.2020;Coupon payment;10000.05-2720;0;4.30% Hyundai Cap America 19-01.02.2024;46.195382.000.0;Coupon;;-21500;10000.05;05.02.2020;03.02.2020;03.02.2020;10000.049999999999-46.195382.000.0;4.30% Hyundai Cap America 19-01.02.2024 (46.195382.000.0);31.08.2021;0;21500;0;0;21500;4.30% Hyundai Cap America 19-01.02.2024;0;Current Account USD;USD;21500;46.195382.000.0;  .KK-USD.000.0.10000.05;-21500;USD;USD
10.02.2020;Coupon payment;10000.05-2725;0;2 1/2% Apple 17-09.02.2022;35.604991.000.0;Coupon;;-25000;10000.05;12.02.2020;10.02.2020;10.02.2020;10000.049999999999-35.604991.000.0;2 1/2% Apple 17-09.02.2022 (35.604991.000.0);31.08.2021;0;25000;0;0;25000;2 1/2% Apple 17-09.02.2022;0;Current Account USD;USD;25000;35.604991.000.0;  .KK-USD.000.0.10000.05;-25000;USD;USD
10.02.2020;Coupon payment;10000.05-2726;0;2.35% Merck 15-10.02.2022;27.079219.000.0;Coupon;;-23500;10000.05;12.02.2020;10.02.2020;10.02.2020;10000.049999999999-27.079219.000.0;2.35% Merck 15-10.02.2022 (27.079219.000.0);31.08.2021;0;23500;0;0;23500;2.35% Merck 15-10.02.2022;0;Current Account USD;USD;23500;27.079219.000.0;  .KK-USD.000.0.10000.05;-23500;USD;USD
11.02.2020;Coupon payment;10000.05-2727;0;3 7/8% Rabobank Nederland 12-08.02.2022;14.916010.000.0;Coupon;;-58125;10000.05;13.02.2020;10.02.2020;11.02.2020;10000.049999999999-14.916010.000.0;3 7/8% Rabobank Nederland 12-08.02.2022 (14.916010.000.0);31.08.2021;0;58125;0;0;58125;3 7/8% Rabobank Nederland 12-08.02.2022;0;Current Account USD;USD;58125;14.916010.000.0;  .KK-USD.000.0.10000.05;-58125;USD;USD
12.02.2020;Coupon payment;10000.05-2728;0;FRN Wells Fargo 17-11.02.2022;35.641373.000.0;Coupon;;-14310.4;10000.05;14.02.2020;11.02.2020;12.02.2020;10000.049999999999-35.641373.000.0;FRN Wells Fargo 17-11.02.2022 (35.641373.000.0);31.08.2021;0;14310.4;0;0;14310.4;FRN Wells Fargo 17-11.02.2022;0;Current Account USD;USD;14310.4;35.641373.000.0;  .KK-USD.000.0.10000.05;-14310.4;USD;USD
14.02.2020;Coupon payment;10000.05-2729;0;1.80% Novartis Capital Corp 17-14.02.2020;35.740037.000.0;Coupon;;-13500;10000.05;18.02.2020;14.02.2020;14.02.2020;10000.049999999999-35.740037.000.0;1.80% Novartis Capital Corp 17-14.02.2020 (35.740037.000.0);31.08.2021;0;13500;0;0;13500;1.80% Novartis Capital Corp 17-14.02.2020;0;Current Account USD;USD;13500;35.740037.000.0;  .KK-USD.000.0.10000.05;-13500;USD;USD
19.02.2020;Coupon payment;10000.05-2731;0;2.55% State Street 15-18.08.2020;29.275131.000.0;Coupon;;-19125;10000.05;21.02.2020;18.02.2020;19.02.2020;10000.049999999999-29.275131.000.0;2.55% State Street 15-18.08.2020 (29.275131.000.0);31.08.2021;0;19125;0;0;19125;2.55% State Street 15-18.08.2020;0;Current Account USD;USD;19125;29.275131.000.0;  .KK-USD.000.0.10000.05;-19125;USD;USD
19.02.2020;Coupon payment;10000.05-2732;0;3.60% AT&T 16-17.02.2023;31.361893.000.0;Coupon;;-36000;10000.05;21.02.2020;18.02.2020;19.02.2020;10000.049999999999-31.361893.000.0;3.60% AT&T 16-17.02.2023 (31.361893.000.0);31.08.2021;0;36000;0;0;36000;3.60% AT&T 16-17.02.2023;0;Current Account USD;USD;36000;31.361893.000.0;  .KK-USD.000.0.10000.05;-36000;USD;USD
19.02.2020;Coupon payment;10000.05-2733;0;2.90% Occidental Petroleum 19-15.08.2024;49.389889.000.0;Coupon;;-22595.82;10000.05;21.02.2020;18.02.2020;19.02.2020;10000.049999999999-49.389889.000.0;2.90% Occidental Petroleum 19-15.08.2024 (49.389889.000.0);31.08.2021;0;22595.82;0;0;22595.82;2.90% Occidental Petroleum 19-15.08.2024;0;Current Account USD;USD;22595.82;49.389889.000.0;  .KK-USD.000.0.10000.05;-22595.82;USD;USD
20.02.2020;Coupon payment;10000.05-2734;0;3 1/4% Celgene 18-20.02.2023;40.378226.000.0;Coupon;;-32500;10000.05;24.02.2020;20.02.2020;20.02.2020;10000.049999999999-40.378226.000.0;3 1/4% Celgene 18-20.02.2023 (40.378226.000.0);31.08.2021;0;32500;0;0;32500;3 1/4% Celgene 18-20.02.2023;0;Current Account USD;USD;32500;40.378226.000.0;  .KK-USD.000.0.10000.05;-32500;USD;USD
24.02.2020;Coupon payment;10000.05-2735;0;3.40% American Express 19-22.02.2024;46.559313.000.0;Coupon;;-34000;10000.05;26.02.2020;24.02.2020;24.02.2020;10000.049999999999-46.559313.000.0;3.40% American Express 19-22.02.2024 (46.559313.000.0);31.08.2021;0;34000;0;0;34000;3.40% American Express 19-22.02.2024;0;Current Account USD;USD;34000;46.559313.000.0;  .KK-USD.000.0.10000.05;-34000;USD;USD
24.02.2020;Coupon payment;10000.05-2736;0;2 7/8% BHP Billiton Finance 12-24.02.2022;18.050718.000.0;Coupon;;-28750;10000.05;26.02.2020;24.02.2020;24.02.2020;10000.049999999999-18.050718.000.0;2 7/8% BHP Billiton Finance 12-24.02.2022 (18.050718.000.0);31.08.2021;0;28750;0;0;28750;2 7/8% BHP Billiton Finance 12-24.02.2022;0;Current Account USD;USD;28750;18.050718.000.0;  .KK-USD.000.0.10000.05;-28750;USD;USD
24.02.2020;Coupon payment;10000.05-2737;0;2 3/8% Shell Intl Finance 12-21.08.2022;19.289108.000.0;Coupon;;-23750;10000.05;26.02.2020;21.02.2020;24.02.2020;10000.049999999999-19.289108.000.0;2 3/8% Shell Intl Finance 12-21.08.2022 (19.289108.000.0);31.08.2021;0;23750;0;0;23750;2 3/8% Shell Intl Finance 12-21.08.2022;0;Current Account USD;USD;23750;19.289108.000.0;  .KK-USD.000.0.10000.05;-23750;USD;USD
25.02.2020;Coupon payment;10000.05-2739;0;FRN Goldman Sachs Group 16-25.02.2021;31.697617.000.0;Coupon;;-28209.48;10000.05;27.02.2020;25.02.2020;25.02.2020;10000.049999999999-31.697617.000.0;FRN Goldman Sachs Group 16-25.02.2021 (31.697617.000.0);31.08.2021;0;28209.48;0;0;28209.48;FRN Goldman Sachs Group 16-25.02.2021;0;Current Account USD;USD;28209.48;31.697617.000.0;  .KK-USD.000.0.10000.05;-28209.48;USD;USD
02.03.2020;Coupon payment;10000.05-2740;0;2 3/4% Comcast 16-01.03.2023;31.618363.000.0;Coupon;;-27500;10000.05;04.03.2020;02.03.2020;02.03.2020;10000.049999999999-31.618363.000.0;2 3/4% Comcast 16-01.03.2023 (31.618363.000.0);31.08.2021;0;27500;0;0;27500;2 3/4% Comcast 16-01.03.2023;0;Current Account USD;USD;27500;31.618363.000.0;  .KK-USD.000.0.10000.05;-27500;USD;USD
02.03.2020;Coupon payment;10000.05-2745;0;2.953% Mizuho Fin Group 17-28.02.2022;35.836821.000.0;Coupon;;-14765;10000.05;05.03.2020;28.02.2020;02.03.2020;10000.049999999999-35.836821.000.0;2.953% Mizuho Fin Group 17-28.02.2022 (35.836821.000.0);31.08.2021;0;14765;0;0;14765;2.953% Mizuho Fin Group 17-28.02.2022;0;Current Account USD;USD;14765;35.836821.000.0;  .KK-USD.000.0.10000.05;-14765;USD;USD
03.03.2020;Coupon payment;10000.05-2746;0;2.80% Boeing Capital 19-01.03.2024;46.469602.000.0;Coupon;;-56000;10000.05;05.03.2020;02.03.2020;03.03.2020;10000.049999999999-46.469602.000.0;2.80% Boeing Capital 19-01.03.2024 (46.469602.000.0);31.08.2021;0;56000;0;0;56000;2.80% Boeing Capital 19-01.03.2024;0;Current Account USD;USD;56000;46.469602.000.0;  .KK-USD.000.0.10000.05;-56000;USD;USD
06.03.2020;Coupon payment;10000.05-2748;0;2 % Cwth Bk of Australia 16-06.09.2021;33.776462.000.0;Coupon;;-10000;10000.05;10.03.2020;06.03.2020;06.03.2020;10000.049999999999-33.776462.000.0;2 % Cwth Bk of Australia 16-06.09.2021 (33.776462.000.0);31.08.2021;0;10000;0;0;10000;2 % Cwth Bk of Australia 16-06.09.2021;0;Current Account USD;USD;10000;33.776462.000.0;  .KK-USD.000.0.10000.05;-10000;USD;USD
09.03.2020;Coupon payment;10000.05-2749;0;3.70% CVS Health 18-09.03.2023;40.806728.000.0;Coupon;;-37000;10000.05;11.03.2020;09.03.2020;09.03.2020;10000.049999999999-40.806728.000.0;3.70% CVS Health 18-09.03.2023 (40.806728.000.0);31.08.2021;0;37000;0;0;37000;3.70% CVS Health 18-09.03.2023;0;Current Account USD;USD;37000;40.806728.000.0;  .KK-USD.000.0.10000.05;-37000;USD;USD
10.03.2020;Coupon payment;10000.05-2750;0;2.65% Enel Finance 19-10.09.2024;49.920281.000.0;Coupon;;-13250;10000.05;12.03.2020;10.03.2020;10.03.2020;10000.049999999999-49.920281.000.0;2.65% Enel Finance 19-10.09.2024 (49.920281.000.0);31.08.2021;0;13250;0;0;13250;2.65% Enel Finance 19-10.09.2024;0;Current Account USD;USD;13250;49.920281.000.0;  .KK-USD.000.0.10000.05;-13250;USD;USD
14.03.2020;Coupon payment;10000.05-2754;0;2.273% Mizuho Fin Group 16-13.09.2021;33.891647.000.0;Coupon;;-11365;10000.05;18.03.2020;13.03.2020;14.03.2020;10000.049999999999-33.891647.000.0;2.273% Mizuho Fin Group 16-13.09.2021 (33.891647.000.0);31.08.2021;0;11365;0;0;11365;2.273% Mizuho Fin Group 16-13.09.2021;0;Current Account USD;USD;11365;33.891647.000.0;  .KK-USD.000.0.10000.05;-11365;USD;USD
16.03.2020;Coupon payment;10000.05-2755;0;2 3/4% Berkshire Hathaway 16-15.03.2023;31.870861.000.0;Coupon;;-27500;10000.05;18.03.2020;16.03.2020;16.03.2020;10000.049999999999-31.870861.000.0;2 3/4% Berkshire Hathaway 16-15.03.2023 (31.870861.000.0);31.08.2021;0;27500;0;0;27500;2 3/4% Berkshire Hathaway 16-15.03.2023;0;Current Account USD;USD;27500;31.870861.000.0;  .KK-USD.000.0.10000.05;-27500;USD;USD
16.03.2020;Coupon payment;10000.05-2756;0;2.70% Siemens Fin 17-16.03.2022;35.991917.000.0;Coupon;;-40500;10000.05;18.03.2020;16.03.2020;16.03.2020;10000.049999999999-35.991917.000.0;2.70% Siemens Fin 17-16.03.2022 (35.991917.000.0);31.08.2021;0;40500;0;0;40500;2.70% Siemens Fin 17-16.03.2022;0;Current Account USD;USD;40500;35.991917.000.0;  .KK-USD.000.0.10000.05;-40500;USD;USD
16.03.2020;Coupon payment;10000.05-2757;0;3.30% Schlumberger Inv 11-14.09.2021;13.818603.000.0;Coupon;;-33000;10000.05;18.03.2020;16.03.2020;16.03.2020;10000.049999999999-13.818603.000.0;3.30% Schlumberger Inv 11-14.09.2021 (13.818603.000.0);31.08.2021;0;33000;0;0;33000;3.30% Schlumberger Inv 11-14.09.2021;0;Current Account USD;USD;33000;13.818603.000.0;  .KK-USD.000.0.10000.05;-33000;USD;USD
20.03.2020;Coupon payment;10000.05-2762;0;2.20% Cisco System 16-20.09.2023;33.966812.000.0;Coupon;;-22000;10000.05;24.03.2020;20.03.2020;20.03.2020;10000.049999999999-33.966812.000.0;2.20% Cisco System 16-20.09.2023 (33.966812.000.0);31.08.2021;0;22000;0;0;22000;2.20% Cisco System 16-20.09.2023;0;Current Account USD;USD;22000;33.966812.000.0;  .KK-USD.000.0.10000.05;-22000;USD;USD
25.03.2020;Coupon payment;10000.05-2764;0;5.80% ING Bank 13-25.09.2023;22.380676.000.0;Coupon;;-58000;10000.05;27.03.2020;25.03.2020;25.03.2020;10000.049999999999-22.380676.000.0;5.80% ING Bank 13-25.09.2023 (22.380676.000.0);31.08.2021;0;58000;0;0;58000;5.80% ING Bank 13-25.09.2023;0;Current Account USD;USD;58000;22.380676.000.0;  .KK-USD.000.0.10000.05;-58000;USD;USD
26.03.2020;Coupon payment;10000.05-2765;0;2.20% PayPal Holdings Inc 19-26.09.2022;50.164130.000.0;Coupon;;-11000;10000.05;30.03.2020;26.03.2020;26.03.2020;10000.049999999999-50.164130.000.0;2.20% PayPal Holdings Inc 19-26.09.2022 (50.164130.000.0);31.08.2021;0;11000;0;0;11000;2.20% PayPal Holdings Inc 19-26.09.2022;0;Current Account USD;USD;11000;50.164130.000.0;  .KK-USD.000.0.10000.05;-11000;USD;USD
01.04.2020;Coupon payment;10000.05-2774;0;2 3/4% Heineken 12-01.04.2023;19.736388.000.0;Coupon;;-27500;10000.05;03.04.2020;01.04.2020;01.04.2020;10000.049999999999-19.736388.000.0;2 3/4% Heineken 12-01.04.2023 (19.736388.000.0);31.08.2021;0;27500;0;0;27500;2 3/4% Heineken 12-01.04.2023;0;Current Account USD;USD;27500;19.736388.000.0;  .KK-USD.000.0.10000.05;-27500;USD;USD
01.04.2020;Coupon payment;10000.05-2775;0;2 1/2% United Parcel Service 17-01.04.2023;39.103879.000.0;Coupon;;-37500;10000.05;03.04.2020;01.04.2020;01.04.2020;10000.049999999999-39.103879.000.0;2 1/2% United Parcel Service 17-01.04.2023 (39.103879.000.0);31.08.2021;0;37500;0;0;37500;2 1/2% United Parcel Service 17-01.04.2023;0;Current Account USD;USD;37500;39.103879.000.0;  .KK-USD.000.0.10000.05;-37500;USD;USD
02.04.2020;Coupon payment;10000.05-2776;0;4 7/8% General Motors 14-02.10.2023;24.730252.000.0;Coupon;;-73125;10000.05;06.04.2020;02.04.2020;02.04.2020;10000.049999999999-24.730252.000.0;4 7/8% General Motors 14-02.10.2023 (24.730252.000.0);31.08.2021;0;73125;0;0;73125;4 7/8% General Motors 14-02.10.2023;0;Current Account USD;USD;73125;24.730252.000.0;  .KK-USD.000.0.10000.05;-73125;USD;USD
04.04.2020;Coupon payment;10000.05-2777;0;FRN Credit Agricole 16-01.07.2021;32.357632.000.0;Coupon;;-23170.35;10000.05;09.04.2020;01.04.2020;04.04.2020;10000.049999999999-32.357632.000.0;FRN Credit Agricole 16-01.07.2021 (32.357632.000.0);31.08.2021;0;23170.35;0;0;23170.35;FRN Credit Agricole 16-01.07.2021;0;Current Account USD;USD;23170.35;32.357632.000.0;  .KK-USD.000.0.10000.05;-23170.35;USD;USD
06.04.2020;Coupon payment;10000.05-2778;0;2 1/8% Daimler North America 16-06.04.2020;32.093788.000.0;Coupon;;-31875;10000.05;09.04.2020;06.04.2020;06.04.2020;10000.049999999999-32.093788.000.0;2 1/8% Daimler North America 16-06.04.2020 (32.093788.000.0);31.08.2021;0;31875;0;0;31875;2 1/8% Daimler North America 16-06.04.2020;0;Current Account USD;USD;31875;32.093788.000.0;  .KK-USD.000.0.10000.05;-31875;USD;USD
13.04.2020;Coupon payment;10000.05-2781;0;FRN Mizuho Financial 16-12.04.2021;32.179378.000.0;Coupon;;-16588.75;10000.05;15.04.2020;13.04.2020;13.04.2020;10000.049999999999-32.179378.000.0;FRN Mizuho Financial 16-12.04.2021 (32.179378.000.0);31.08.2021;0;16588.75;0;0;16588.75;FRN Mizuho Financial 16-12.04.2021;0;Current Account USD;USD;16588.75;32.179378.000.0;  .KK-USD.000.0.10000.05;-16588.75;USD;USD
